Year From Waste Placement,Percent Collection Efficiency,Percent Destruction Efficiency for Collected Methane,Percent Oxidation Rate
0,0.00,N/A,25
1,0.00,N/A,25
2,0.00,N/A,25
3,0.00,N/A,25
4,0.00,N/A,25
5,50.00,99,25
6,50.00,99,25
7,50.00,99,25
8,50.00,99,25
9,50.00,99,25
10,75.00,99,25
11,75.00,99,25
12,75.00,99,25
13,75.00,99,25
14,75.00,99,25
15,82.50,99,25
16,82.50,99,25
17,82.50,99,25
18,82.50,99,25
19,82.50,99,25
20,82.50,99,25
21,90.00,99,25
22,90.00,99,25
23,90.00,99,25
24,90.00,99,25
25,90.00,99,25
26,90.00,99,25
27,90.00,99,25
28,90.00,99,25
29,90.00,99,25
30,90.00,99,25
31,90.00,99,25
32,90.00,99,25
33,90.00,99,25
34,90.00,99,25
35,0.00,0,25
36-139,0.00,0,25
